when	user	A	B	games	jobs	map	seed_base	A_win	B_win	draw	err	A_rate	se_pp	runid
2026-08-29T13:22:12	inhyeok	TEAM/round_10_1315/sehyeon_v3.cpp	TEAM/round_10_1315/inhyuk_v3.cpp	35	4	sweep(N=181..249)	981000	10	8	17	0	0.556	11.7	20260829T132157-inhyeok-3223389
2026-08-29T13:22:44	ubuntu	inhyuk_v3	sehyeon_v3	105	6	sweep(N=181..249)	-	33	22	50	0	0.600	6.6	20260829T132224-ubuntu-3315158
2026-08-29T13:23:04	ubuntu	inhyuk_v3	inhyuk_v2	105	6	sweep(N=181..249)	-	34	27	44	0	0.557	6.4	20260829T132244-ubuntu-3396188
2026-08-29T13:23:13	ubuntu	inhyuk_v3	jinsu_rush	105	6	sweep(N=181..249)	-	89	16	0	0	0.848	3.5	20260829T132304-ubuntu-3476451
2026-08-29T13:35:21	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	runs/contest/round_11/submission_133464.cpp	70	4	sweep(N=181..249)	991000	21	9	40	0	0.700	8.4	20260829T133456-inhyeok-3556635
2026-08-29T13:35:56	jinsu	jyp_v3	sehyeon_v3	105	6	sweep(N=181..249)	-	2	103	0	0	0.019	1.3	20260829T133534-jinsu-3610658
2026-08-29T13:36:11	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_12_1345/jyp_v3.cpp	35	1	sweep(N=181..249)	993000	0	0	0	35	n/a	n/a	20260829T133603-inhyeok-3697057
2026-08-29T13:36:16	jinsu	jyp_v3	inhyuk_v3	105	6	sweep(N=181..249)	-	2	101	2	0	0.019	1.4	20260829T133556-jinsu-3680830
2026-08-29T13:36:27	jinsu	jyp_v3	jinsu_rush	105	6	sweep(N=181..249)	-	83	20	2	0	0.806	3.9	20260829T133616-jinsu-3752807
2026-08-29T13:36:29	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/jinsu_rush.cpp	40	1	sweep(N=181..249)	994000	0	0	0	40	n/a	n/a	20260829T133623-inhyeok-3790434
2026-08-29T13:36:31	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/sehyeon_v3.cpp	40	1	sweep(N=181..249)	995000	0	0	0	40	n/a	n/a	20260829T133623-inhyeok-3790402
2026-08-29T13:36:31	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/sehyeon_v4.cpp	40	1	sweep(N=181..249)	996000	0	0	0	40	n/a	n/a	20260829T133623-inhyeok-3790420
2026-08-29T13:36:48	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/jinsu_rush.cpp	40	4	sweep(N=181..249)	994000	37	2	1	0	0.949	3.5	20260829T133643-inhyeok-3817754
2026-08-29T13:36:59	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/sehyeon_v3.cpp	40	4	sweep(N=181..249)	995000	11	9	20	0	0.550	11.1	20260829T133648-inhyeok-3841176
2026-08-29T13:37:10	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_11_1330/sehyeon_v4.cpp	40	4	sweep(N=181..249)	996000	21	10	9	0	0.677	8.4	20260829T133659-inhyeok-3872732
2026-08-29T13:37:35	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	runs/contest/round_11/submission_133464.cpp	70	4	sweep(N=181..249)	997000	24	14	32	0	0.632	7.8	20260829T133716-inhyeok-3903002
2026-08-29T13:37:45	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	TEAM/round_12_1345/jyp_v3.cpp	40	4	sweep(N=181..249)	998000	38	0	2	0	1.000	0.0	20260829T133736-inhyeok-3956383
2026-08-29T13:38:23	inhyeok	/home/inhyeok/work/inhyuk_v4.cpp	sample	70	4	sweep(N=181..249)	999000	70	0	0	0	1.000	0.0	20260829T133814-inhyeok-3984151
2026-08-29T13:40:19	jinsu	sehyeon_v5	sehyeon_v3	105	6	sweep(N=181..249)	-	11	65	29	0	0.145	4.0	20260829T133957-jinsu-4023577
2026-08-29T13:40:39	jinsu	sehyeon_v5	inhyuk_v3	105	6	sweep(N=181..249)	-	18	56	31	0	0.243	5.0	20260829T134019-jinsu-4103408
2026-08-29T13:40:48	jinsu	sehyeon_v5	jinsu_rush	105	6	sweep(N=181..249)	-	89	16	0	0	0.848	3.5	20260829T134039-jinsu-4183315
2026-08-29T13:41:10	jinsu	inhyuk_v4	sehyeon_v3	105	6	sweep(N=181..249)	-	31	32	42	0	0.492	6.3	20260829T134048-jinsu-46443
2026-08-29T13:41:31	jinsu	inhyuk_v4	inhyuk_v3	105	6	sweep(N=181..249)	-	31	19	55	0	0.620	6.9	20260829T134110-jinsu-124947
2026-08-29T13:41:40	jinsu	inhyuk_v4	jinsu_rush	105	6	sweep(N=181..249)	-	90	15	0	0	0.857	3.4	20260829T134131-jinsu-205214
2026-08-29T13:42:01	jinsu	sehyeon_v5	inhyuk_v4	105	6	sweep(N=181..249)	-	11	51	43	0	0.177	4.9	20260829T134140-jinsu-265492
